username,overall_attendance_lectures_weeks_1_5,inperson_attendance_lectures_weeks_1_5,lecture_recording_usage,remote_attendance_lectures_count,remote_attendance_lectures_weeks_1_5_count,remote_attendance_lectures_weeks_6_10_count
342,11 to 15 times,False,True,0.0,0.0,0.0
344,1 to 5 times,False,False,0.0,0.0,0.0
351,11 to 15 times,False,True,0.0,0.0,0.0
359,11 to 15 times,False,True,0.0,0.0,0.0
361,0 times,False,True,0.0,0.0,0.0
363,6 to 10 times,False,True,0.0,0.0,0.0
364,11 to 15 times,False,True,0.0,0.0,0.0
366,11 to 15 times,False,True,0.0,0.0,0.0
368,1 to 5 times,False,True,0.0,0.0,0.0
372,11 to 15 times,False,True,0.0,0.0,0.0
379,6 to 10 times,True,True,0.0,0.0,0.0
380,0 times,False,True,0.0,0.0,0.0
389,11 to 15 times,True,False,0.0,0.0,0.0
391,1 to 5 times,False,True,0.0,0.0,0.0
395,6 to 10 times,False,False,0.0,0.0,0.0
401,1 to 5 times,False,False,0.0,0.0,0.0
402,1 to 5 times,False,True,0.0,0.0,0.0
403,11 to 15 times,False,True,0.0,0.0,0.0
404,11 to 15 times,True,True,0.0,0.0,0.0
405,1 to 5 times,False,True,0.0,0.0,0.0
406,11 to 15 times,False,True,0.0,0.0,0.0
407,6 to 10 times,False,True,0.0,0.0,0.0
408,1 to 5 times,False,True,0.0,0.0,0.0
409,6 to 10 times,False,True,0.0,0.0,0.0
