username,overall_attendance_lectures_weeks_6_10,inperson_attendance_lectures_weeks_6_10,lecture_recording_usage,remote_attendance_lectures_count,remote_attendance_lectures_weeks_1_5_count,remote_attendance_lectures_weeks_6_10_count
259,6 to 10 times,True,True,1.0,1.0,0.0
260,11 to 15 times,True,False,13.0,2.0,11.0
261,11 to 15 times,True,False,1.0,1.0,0.0
263,6 to 10 times,False,True,1.0,1.0,0.0
265,6 to 10 times,False,True,1.0,1.0,0.0
269,11 to 15 times,True,True,4.0,3.0,1.0
271,11 to 15 times,False,False,10.0,5.0,5.0
274,11 to 15 times,True,False,12.0,6.0,6.0
275,6 to 10 times,True,False,3.0,3.0,0.0
277,11 to 15 times,False,True,6.0,6.0,0.0
278,11 to 15 times,True,True,5.0,5.0,0.0
279,0 times,False,True,3.0,3.0,0.0
280,6 to 10 times,False,True,7.0,7.0,0.0
290,,False,True,0.0,0.0,0.0
293,0 times,False,False,0.0,0.0,0.0
294,,False,True,0.0,0.0,0.0
296,11 to 15 times,True,False,0.0,0.0,0.0
298,0 times,False,True,0.0,0.0,0.0
299,0 times,False,False,0.0,0.0,0.0
301,11 to 15 times,False,True,0.0,0.0,0.0
302,0 times,False,False,0.0,0.0,0.0
304,0 times,False,True,0.0,0.0,0.0
305,11 to 15 times,False,True,0.0,0.0,0.0
306,,True,True,0.0,0.0,0.0
307,,False,True,0.0,0.0,0.0
308,6 to 10 times,False,True,0.0,0.0,0.0
311,,False,True,0.0,0.0,0.0
313,0 times,False,False,0.0,0.0,0.0
314,,False,True,0.0,0.0,0.0
316,6 to 10 times,False,True,0.0,0.0,0.0
318,0 times,True,False,0.0,0.0,0.0
319,6 to 10 times,False,True,0.0,0.0,0.0
321,11 to 15 times,False,True,0.0,0.0,0.0
322,6 to 10 times,False,True,0.0,0.0,0.0
323,6 to 10 times,False,True,0.0,0.0,0.0
324,6 to 10 times,False,True,0.0,0.0,0.0
325,6 to 10 times,False,True,0.0,0.0,0.0
326,0 times,False,True,0.0,0.0,0.0
328,0 times,False,False,0.0,0.0,0.0
329,0 times,False,True,0.0,0.0,0.0
330,,False,True,0.0,0.0,0.0
338,0 times,False,True,0.0,0.0,0.0
339,0 times,False,False,0.0,0.0,0.0
340,,False,False,0.0,0.0,0.0
345,6 to 10 times,False,True,0.0,0.0,0.0
346,11 to 15 times,False,True,0.0,0.0,0.0
347,0 times,False,False,0.0,0.0,0.0
349,6 to 10 times,False,True,0.0,0.0,0.0
351,11 to 15 times,False,True,0.0,0.0,0.0
353,,False,True,0.0,0.0,0.0
354,,False,False,0.0,0.0,0.0
358,0 times,False,True,0.0,0.0,0.0
361,0 times,False,True,0.0,0.0,0.0
362,11 to 15 times,False,True,0.0,0.0,0.0
363,6 to 10 times,False,True,0.0,0.0,0.0
364,11 to 15 times,False,True,0.0,0.0,0.0
366,11 to 15 times,False,True,0.0,0.0,0.0
368,6 to 10 times,False,True,0.0,0.0,0.0
372,11 to 15 times,False,True,0.0,0.0,0.0
374,6 to 10 times,False,True,0.0,0.0,0.0
376,6 to 10 times,False,True,0.0,0.0,0.0
382,,False,True,0.0,0.0,0.0
384,,False,False,0.0,0.0,0.0
389,11 to 15 times,True,False,0.0,0.0,0.0
392,0 times,False,True,0.0,0.0,0.0
393,,False,True,0.0,0.0,0.0
395,,False,False,0.0,0.0,0.0
399,,False,False,0.0,0.0,0.0
402,0 times,False,True,0.0,0.0,0.0
403,,False,True,0.0,0.0,0.0
406,11 to 15 times,True,True,0.0,0.0,0.0
408,6 to 10 times,False,True,0.0,0.0,0.0
410,0 times,True,False,0.0,0.0,0.0
411,6 to 10 times,False,True,0.0,0.0,0.0
412,6 to 10 times,False,False,0.0,0.0,0.0
413,6 to 10 times,True,True,0.0,0.0,0.0
414,,False,True,0.0,0.0,0.0
415,0 times,False,True,0.0,0.0,0.0
416,0 times,False,True,0.0,0.0,0.0
417,6 to 10 times,False,True,0.0,0.0,0.0
418,,False,True,0.0,0.0,0.0
419,,False,True,0.0,0.0,0.0
